"State","Year"
"Connecticut","2012"
"California","2015"
"Wisconsin","2015"
"Louisiana","2016"
"Massachusetts","2016"
"Missouri","2016"
"Nebraska","2016"
"New York","2016"
"Washington","2016"
"Arkansas","2017"
"Colorado","2017"
"Georgia","2017"
"Hawaii","2017"
"Illinois","2017"
"Kansas","2017"
"Maryland","2017"
"Nevada","2017"
"New Jersey","2017"
"North Carolina","2017"
"Ohio","2017"
"Oregon","2017"
"Pennsylvania","2017"
"Texas","2017"
"Vermont","2017"
"Virginia","2017"
"West Virginia","2017"
"Arizona","2018"
"Delaware","2018"
"Indiana","2018"
"Kentucky","2018"
"Maine","2018"
"Michigan","2018"
"Minnesota","2018"
"New Mexico","2018"
"Oklahoma","2018"
"Rhode Island","2018"
"South Carolina","2018"
"Tennessee","2018"
"Alabama","2019"
"Florida","2019"
"Iowa","2019"
"Mississippi","2019"
"New Hampshire","2019"
"Utah","2019"
"Alaska","No specific law"
"Idaho","No specific law"
"Montana","No specific law"
"North Dakota","No specific law"
"South Dakota","No specific law"
"Wyoming","No specific law"
